ID,Active (0/1),Name *,"Categories (x,y,z…)",Visibility,Description,Available for order (0 = No 1 = Yes),Show price (0 = No  1 = Yes),Meta title,Meta Description,URL rewritten,Image
12,1,Skatepark Bordeaux,Skatepark 33 Gironde,both,"Skatepark Bordeaux 33 Gironde, Constructo Skateparks, 2022 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Bordeaux 33 Gironde,"Skatepark Bordeaux 33 Gironde, Constructo Skateparks, 2022",skatepark-references-bordeaux,https://www.territoireskatepark.fr/wp-content/uploads/2022/12/skatepark-bordeaux.jpg
13,1,Skatepark Venelles,Skatepark 13 Bouches-du-Rhône,both,"Skatepark Venelles 13 Bouches-du-Rhône, Constructo Skateparks, 2022 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Venelles 13 Bouches-du-Rhône,"Skatepark Venelles 13 Bouches-du-Rhône, Constructo Skateparks, 2022",skatepark-references-venelles,https://www.territoireskatepark.fr/wp-content/uploads/2022/10/Venelles-2-01-min.jpg
14,1,Skatepark Port-Saint-Louis-du-Rhône,Skatepark 13 Bouches-du-Rhône,both,"Skatepark Port-Saint-Louis-du-Rhône 13 Bouches-du-Rhône, AMP Métropole, Artélia, Constructo skateparks, 2022 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Port-Saint-Louis-du-Rhône 13 Bouches-du-Rhône,"Skatepark Port-Saint-Louis-du-Rhône 13 Bouches-du-Rhône, AMP Métropole, Artélia, Constructo skateparks, 2022",skatepark-references-port-saint-louis-du-rhone,https://www.territoireskatepark.fr/wp-content/uploads/2022/10/skatepark-en-beton.jpg
15,1,Skatepark la Tour d'Aigues,Skatepark 84 Vaucluse,both,"Skatepark la Tour d'Aigues 84 Vaucluse, Cabinet Tramoy, 2022 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark la Tour d'Aigues 84 Vaucluse,"Skatepark la Tour d'Aigues 84 Vaucluse, Cabinet Tramoy, 2022",skatepark-references-la-tour-d-aigues,https://www.territoireskatepark.fr/wp-content/uploads/2022/10/La-Tour-dAigues-260922-09.jpg
16,1,Skatepark Robion,Skatepark 84 Vaucluse,both,"Skatepark Robion 84 Vaucluse, Victor Brevière, 2022 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Robion 84 Vaucluse,"Skatepark Robion 84 Vaucluse, Victor Brevière, 2022",skatepark-references-robion,https://www.territoireskatepark.fr/wp-content/uploads/2022/10/Atelier-b9-2209202218-min.jpg
17,1,Skatepark Noisy-le-Grand,Skatepark 93 Seine-Saint-Denis,both,"Skatepark Noisy-le-Grand 93 Seine-Saint-Denis, Baseland / Constructo, 2022 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Noisy-le-Grand 93 Seine-Saint-Denis,"Skatepark Noisy-le-Grand 93 Seine-Saint-Denis, Baseland / Constructo, 2022",skatepark-references-noisy-le-grand,https://www.territoireskatepark.fr/wp-content/uploads/2022/05/bowl-noisy-le-grand-.jpg
18,1,Skatepark Paulhan,Skatepark 34 Hérault,both,"Skatepark Paulhan 34 Hérault, Connexion Sport Urbain, 2022 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Paulhan 34 Hérault,"Skatepark Paulhan 34 Hérault, Connexion Sport Urbain, 2022",skatepark-references-paulhan,https://www.territoireskatepark.fr/wp-content/uploads/2022/03/activite-paulhan.jpg
19,1,Skatepark Sartrouville,Skatepark 78 Yvelines,both,"Skatepark Sartrouville 78 Yvelines, Skatepark service conseil, 2021 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Sartrouville 78 Yvelines,"Skatepark Sartrouville 78 Yvelines, Skatepark service conseil, 2021",skatepark-references-sartrouville,https://www.territoireskatepark.fr/wp-content/uploads/2022/06/parc-youri-gagarine.jpg
20,1,Skatepark Ville d'Illkirch-Graffenstaden,Skatepark 67 Bas-Rhin,both,"Skatepark Ville d'Illkirch-Graffenstaden 67 Bas-Rhin, Evolving Skatepark, 2022 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Ville d'Illkirch-Graffenstaden 67 Bas-Rhin,"Skatepark Ville d'Illkirch-Graffenstaden 67 Bas-Rhin, Evolving Skatepark, 2022",skatepark-references-illkirch-graffenstaden,https://www.territoireskatepark.fr/wp-content/uploads/2022/01/SKATEPARK-ILLKIRSH-1.jpg
21,1,Skatepark Calais,Skatepark 62 Pas-de-Calais,both,"Skatepark Calais 62 Pas-de-Calais, Groupement Base, Face B, Ingerop, Connexion Sport Urbain, On, 2021 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Calais 62 Pas-de-Calais,"Skatepark Calais 62 Pas-de-Calais, Groupement Base, Face B, Ingerop, Connexion Sport Urbain, On, 2021",skatepark-references-calais,https://www.territoireskatepark.fr/wp-content/uploads/2021/12/territoire-skatepark--scaled.jpg
22,1,Skatepark Hyères-les-Palmiers,Skatepark 83 Var,both,"Skatepark Hyères-les-Palmiers 83 Var, Constructo skatepark, 2022 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Hyères-les-Palmiers 83 Var,"Skatepark Hyères-les-Palmiers 83 Var, Constructo skatepark, 2022",skatepark-references-hyeres,https://www.territoireskatepark.fr/wp-content/uploads/2022/01/skatepark-de-hyeres.jpg
23,1,Skatepark Saint-Chamas,Skatepark 13 Bouches-du-Rhône,both,"Skatepark Saint-Chamas 13 Bouches-du-Rhône, Ville de Saint-Chamas, 2020 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Saint-Chamas 13 Bouches-du-Rhône,"Skatepark Saint-Chamas 13 Bouches-du-Rhône, Ville de Saint-Chamas, 2020",skatepark-references-saint-chamas,https://www.territoireskatepark.fr/wp-content/uploads/2021/02/saint-chamas-skatepark-beton.jpg
24,1,Skatepark Chaponost,Skatepark 69 Rhône,both,"Skatepark Chaponost 69 Rhône, Be.urban &amp; Atelier 16 Design, 2020 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Chaponost 69 Rhône,"Skatepark Chaponost 69 Rhône, Be.urban &amp; Atelier 16 Design, 2020",skatepark-references-chaponost,https://www.territoireskatepark.fr/wp-content/uploads/2021/12/chaponost-skatepark.jpg
