ID,Active (0/1),Name *,"Categories (x,y,z…)",Visibility,Description,Available for order (0 = No 1 = Yes),Show price (0 = No  1 = Yes),Meta title,Meta Description,URL rewritten,Image
21,1,Skatepark Cherbourg-en-Cotentin,Skatepark 50 Manche,both,"Skatepark Cherbourg-en-Cotentin 50 Manche, Co-traitant MOE, Ingé-Infra/ 4PK/ Sports des villes, Bowl Park, 1350m², 300 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Cherbourg-en-Cotentin 50 Manche,"Skatepark Cherbourg-en-Cotentin 50 Manche, Co-traitant MOE, Ingé-Infra/ 4PK/ Sports des villes, Bowl Park, 1350m², 300 000€",skatepark-cherbourg-en-cotentin,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20181104_142427-min-1024x365.jpg
22,1,Skatepark Campo Grande,Skatepark Brésil,both,"Skatepark Campo Grande Brésil, Assistance au design et construction, Doctor Skateparks / Concrete Flow Skateparks, Bowl, 200m² <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Campo Grande Brésil,"Skatepark Campo Grande Brésil, Assistance au design et construction, Doctor Skateparks / Concr",skatepark-cosmic-bowl,https://antidoteskateparks.fr/wp-content/uploads/2020/07/cosmicbowlfinal_8870383226_o-1024x543.jpg
23,1,Skatepark Dainville,Skatepark 59 Nord,both,"Skatepark Dainville 59 Nord, Assistance à la maîtrise d'ouvrage, Services Techniques de Dainville, Streetpark, 327m², 99 500€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Dainville 59 Nord,"Skatepark Dainville 59 Nord, Assistance à la maîtrise d'ouvrage, Services Techniques de Dainville, Streetpark, 327m², 99 500€",skatepark-dainville,https://antidoteskateparks.fr/wp-content/uploads/2020/03/Photo-Emmanuel-Cordonnier-Balestra-min-1024x398.jpg
24,1,Skatepark Cournon d’Auvergne,Skatepark 63 Puy-de-Dôme,both,"Skatepark Cournon d’Auvergne 63 Puy-de-Dôme, Assistance à la maîtrise d'ouvrage, Services techniques de Cournon, Skatepark polyvalent, 744m², 172 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Cournon d’Auvergne 63 Puy-de-Dôme,"Skatepark Cournon d’Auvergne 63 Puy-de-Dôme, Assistance à la maîtrise d'ouvrage, Services techniques de Cournon, Skatepark polyvalent, 744m², 172 000€",skatepark-cournon-dauvergne,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20160921_130742-min-1024x410.jpg
25,1,Skatepark Deurne,Skatepark Belgique,both,"Skatepark Deurne Belgique, Co-traitant MOE, BUUR/ HOSPER/ Rio Ramp Design/ Doctor Skateparks, Skatepark polyvalent, 550m², 22 000€  <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Deurne Belgique,"Skatepark Deurne Belgique, Co-traitant MOE, BUUR/ HOSPER/ Rio Ramp Design/ Doctor Skateparks, Skatepark polyvalent, 550m², 22 000€ ",skatepark-deurne,https://antidoteskateparks.fr/wp-content/uploads/2020/03/70400205_1238628999641850_2841801683044925440_o-1024x804.jpg
26,1,Skatepark La Deauville,Skatepark 14 Calvados,both,"Skatepark La Deauville 14 Calvados, Co-traitant MOE, Ingé-Infra/ Antidote Skateparks, Skatepark polyvalent, 509m², 180 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark La Deauville 14 Calvados,"Skatepark La Deauville 14 Calvados, Co-traitant MOE, Ingé-Infra/ Antidote Skateparks, Skatepark polyvalent, 509m², 180 000€",skatepark-deauville,https://antidoteskateparks.fr/wp-content/uploads/2020/03/IMG_20191210_134103-1024x374.jpg
27,1,Skatepark Douai,Skatepark 59 Nord,both,"Skatepark Douai 59 Nord, Co-traitant MOE, Acanthe Architecture/ Sports des villes, Skatepark polyvalent, 717m², 175 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Douai 59 Nord,"Skatepark Douai 59 Nord, Co-traitant MOE, Acanthe Architecture/ Sports des villes, Skatepark polyvalent, 717m², 175 000€",skatepark-douai,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20150609_141148-min-1024x286.jpg
28,1,Skatepark Etaples,Skatepark 62 Pas-de-Calais,both,"Skatepark Etaples 62 Pas-de-Calais, Assistance à la maîtrise d'ouvrage, Services techniques d'Etaples, Streetpark, 248m², 89 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Etaples 62 Pas-de-Calais,"Skatepark Etaples 62 Pas-de-Calais, Assistance à la maîtrise d'ouvrage, Services techniques d'Etaples, Streetpark, 248m², 89 000€",skatepark-etaples,https://antidoteskateparks.fr/wp-content/uploads/2020/03/18623435_1114812465292071_2784540639934358557_o-1024x683.jpg
29,1,Skatepark Fécamp,Skatepark 76 Seine-Maritime,both,"Skatepark Fécamp 76 Seine-Maritime, Conception Construction, Concrete Waves/ SDV/ Laurence Crémel, Skatepark polyvalent, 880m², 380 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Fécamp 76 Seine-Maritime,"Skatepark Fécamp 76 Seine-Maritime, Conception Construction, Concrete Waves/ SDV/ Laurence Crémel, Skatepark polyvalent, 880m², 380 000€",skatepark-fecamp,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20180420_144553-min-e1584625941364-1024x423.jpg
30,1,Skatepark Pérou,Skatepark Pérou,both,"Skatepark Pérou, Conception construction, Doctor Skatepark, Streetpark en bois, 325m² <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Pérou,"Skatepark Pérou, Conception construction, Doctor Skatepark, Streetpark en bois, 325m²",skatepark-gzuck,https://antidoteskateparks.fr/wp-content/uploads/2020/07/P1020489-min-1024x359.jpg
